,Name,Type,Family,Direction,Baseline,Case,White Space,ISO 15924 Code,Status,Diacritics,Contextual Forms,Complex Positioning,Reordering,Split Graphs,Ligatures,OpenType Tag,Unicode Range
0,Adlam,alphabet,African,RTL,bottom,yes,between words,Adlm / 166 (right-to-left alphabetic),Current,yes,yes,[unknown],no,no,none,adlm,1E900..1E95F
1,Hebrew,abjad,Middle Eastern,RTL bidirectional,bottom,no,between words,Hebr / 125 (right-to-left alphabetic),Current,yes,yes,no,[unknown],[unknown],required,hebr,0000..007F
2,Pahawh Hmong,syllabary,East Asian,LTR,bottom,no,[unspecified],Hmng / 450 (syllabic),Current,yes,yes,[unknown],yes,[unknown],[unspecified],hmng,16B00..16B8F
3,Afaka,syllabary,American,LTR,bottom,no,discretionary,Afak / 439 (syllabic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
4,Hiragana,syllabary,East Asian,vertical (RTL) and horizontal (LTR),centered,no,discretionary,Hira / 410 (syllabic),Current,yes,no,[unknown],no,[unknown],[unspecified],kana,N/A
5,Pau Cin Hau,alphabet,Mainland Southeast Asian,LTR,[unspecified],[unknown],between words,Pauc / 263 (left-to-right alphabetic),Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],pauc,11AC0..11AFF
6,Ahom,abugida,Mainland Southeast Asian,LTR,bottom,no,none,Ahom / 338 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],,ahom,11700..1173F
7,Iban,syllabary,Insular Southeast Asian,LTR,bottom,no,between words,[none],Current,no,no,no,no,no,none,[none],N/A
8,Pau Cin Hau Syllabary,logo-syllabary,Mainland Southeast Asian,[unspecified],bottom,[unknown],none,[none],Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
9,Akkha,abugida,Indic,LTR,bottom,no,[unspecified],[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
10,Jamo (alias for Jamo subset of Hangul),featural,East Asian,[unspecified],[unspecified],no,between words,Jamo / 284 (left-to-right alphabetic),Current,no,no,no,no,[unknown],[unspecified],jamo, 1100..11FF 
11,Ranjana,abugida,Indic,LTR,hanging,no,between words,Ranj / 303 (alphasyllabic),Current,yes,yes,[unknown],yes,yes,required,[none],N/A
12,Arabic,abjad,Middle Eastern,RTL bidirectional,bottom,no,between words,Arab / 160 (right-to-left alphabetic),Current,yes,yes,yes,[unknown],no,required,arab, 0600..06FF 
13,Japanese (alias for Han + Hiragana + Katakana),logo-syllabary,East Asian,LTR,centered,no,discretionary,Jpan / 413 (syllabic),Current,yes,no,no,[unknown],[unknown],none,[none], 2E80..2EFF 
14,"Rejang (Redjang, Kaganga)",abugida,Insular Southeast Asian,LTR,bottom,no,[unspecified],Rjng / 363 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],none,rjng,A930..A95F
15,Arabic (Nastaliq variant),abjad,Middle Eastern,RTL bidirectional,bottom,no,between words,Aran / 161 (right-to-left alphabetic),Current,yes,yes,yes,no,no,required,[none], 0600..06FF 
16,Japanese syllabaries (alias for Hiragana + Katakana),syllabary,East Asian,LTR,centered,no,between words,Hrkt / 412 (syllabic),Current,[unknown],[unknown],[unknown],no,[unknown],[unspecified],[none],N/A
17,Salifou Hausa,alphabet,African,[unspecified],bottom,no,[unspecified],[none],Current,no,yes,[unknown],[unknown],[unknown],[unspecified],[none],N/A
18,Armenian,alphabet,European,LTR,bottom,yes,between words,Armn / 230 (left-to-right alphabetic),Current,yes,no,no,[unknown],[unknown],optional,armn,0530..058F
19,Javanese,abugida,Insular Southeast Asian,LTR,hanging,no,none,Java / 361 (alphasyllabic),Current,yes,yes,yes,[unknown],[unknown],none,java,A980..A9DF
20,Samaritan,abjad,Middle Eastern,RTL,bottom,no,none,Samr / 123 (right-to-left alphabetic),Current,yes,yes,yes,[unknown],[unknown],none,samr,0000..007F
21,Bagam (Eghap),logo-syllabary,African,LTR,bottom,no,[unspecified],[none],Current,yes,[unknown],[unknown],[unknown],[unknown],required,[none],N/A
22,Kaithi,abugida,Indic,LTR,hanging,no,discretionary,Kthi / 317 (alphasyllabic),Current,yes,yes,yes,yes,[unknown],required,kthi,11080..110CF
23,Saurashtra,abugida,Indic,LTR,hanging,no,[unspecified],Saur / 344 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],optional,saur,A880..A8DF
24,Balinese,abugida,Insular Southeast Asian,LTR,hanging,no,between words,Bali / 360 (alphasyllabic),Current,yes,yes,[unknown],yes,yes,,bali,1B00..1B7F
25,Kannada,abugida,Indic,LTR,bottom,no,between words,Knda / 00 (hieroglyphic/cuneiform),Current,yes,yes,yes,[unknown],[unknown],required,"knda, knd2", 0C80..0CFF 
26,"Sharada, Śāradā",abugida,Indic,LTR,hanging,no,discretionary,Shrd / 319 (alphasyllabic),Current,yes,[unknown],[unknown],yes,yes,required,shrd,11180..111DF
27,Balti-A,abugida,Indic,RTL,bottom,[unknown],between words,[none],Current,yes,[unknown],[unknown],[unknown],[unknown],,[none],N/A
28,Katakana,syllabary,East Asian,vertical (RTL) and horizontal (LTR),centered,no,none,Kana / 411 (syllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],optional,kana,N/A
29,Shuishu,logo-syllabary,East Asian,vertical (RTL) and horizontal (LTR),centered,no,none,Shui / 530 (ideographic),Current,no,[unknown],no,no,no,none,[none],N/A
30,Bamum,syllabary,African,LTR,bottom,yes,between words,Bamu / 435 (syllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],,bamu,A6AO..A6FF
31,Kayah Li,alphabet,Mainland Southeast Asian,LTR,hanging,no,between words,Kali / 357 (alphasyllabic),Current,yes,[unknown],yes,[unknown],[unknown],[unspecified],kali,A900..A92F
32,SignFont Notation,featural,Signed Language,LTR,bottom,no,between words,[none],Current,no,no,no,no,no,none,[none],N/A
33,Bassa Vah,alphabet,African,LTR,bottom,yes,[unspecified],Bass / 259 (left-to-right alphabetic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],bass,16AD0..16AFF
34,Khmer,abugida,Mainland Southeast Asian,LTR,bottom,no,none,Khmr / 355 (alphasyllabic),Current,yes,yes,yes,yes,yes,required,khmr,0024
35,SignWriting,featural,Signed Language,vertical (LTR) and horizontal (LTR),vertical,no,[unspecified],Sgnw / 095 (hieroglyphic/cuneiform),Current,yes,yes,yes,no,yes,required,sgnw,1D800..1DAAF
36,Batak,abugida,Insular Southeast Asian,vertical (LTR) and horizontal (LTR),bottom,no,none,Batk / 365 (alphasyllabic),Current,yes,no,[unknown],[unknown],[unknown],none,batk,1BC0..1BFF
37,Khojki,abugida,Indic,LTR,[unspecified],no,[unspecified],Khoj / 322 (alphasyllabic),Current,yes,yes,[unknown],no,[unknown],required,khoj,11200..1124F
38,Sinhala,abugida,Indic,LTR,bottom,no,between words,Sinh / 348 (alphasyllabic),Current,yes,yes,[unknown],yes,yes,required,sinh,0D80..0DFF
39,Bengali (Bangla),abugida,Indic,LTR,hanging,no,between words,Beng / 325 (alphasyllabic),Current,yes,yes,yes,yes,yes,required,"beng, bng2",0980..09FF
40,Khutsuri (Asomtavruli and Nuskhuri),alphabet,European,LTR,bottom,yes,between words,Geok / 241 (left-to-right alphabetic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],optional,[none],0024
41,Sora Sompeng,syllabary,Indic,LTR,bottom,no,[unspecified],Sora / 398 (alphasyllabic),Current,no,[unknown],[unknown],[unknown],[unknown],none,sora,110D0..110FF
42,Beria (Erfe),alphabet,African,LTR,hanging,yes,none,[none],Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
43,Kirat Rai,abugida,Indic,LTR,bottom,no,between words,[none],Current,no,no,no,no,no,none,[none],N/A
44,Soyombo,abugida,Indic,LTR,hanging,[unknown],[unspecified],Soyo / 329 (alphasyllabic),Current,yes,[unknown],yes,[unknown],[unknown],required,soyo, 11A50..11AAF 
45,Bété,syllabary,African,LTR,[unspecified],no,[unspecified],[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
46,Korean (alias for Hangul + Han),logo-syllabary,East Asian,LTR,bottom,no,between words,Kore / 287 (left-to-right alphabetic),Current,no,no,no,no,[unknown],[unspecified],[none],0024
47,Stokoe Notation,featural,Signed Language,LTR,bottom,no,[unspecified],[none],Current,yes,[unknown],[unknown],no,[unknown],none,[none],N/A
48,Bopomofo,syllabary,East Asian,LTR,bottom,no,between words,Bopo / 285 (left-to-right alphabetic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],bopo, 3100..312F 
49,Kpelle,syllabary,African,LTR,bottom,no,[unspecified],Kpel / 436 (syllabic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
50,Sundanese,abugida,Insular Southeast Asian,LTR,bottom,no,between words,Sund / 362 (alphasyllabic),Current,yes,[unknown],[unknown],yes,[unknown],optional,sund,1B80..1BBF
51,Braille,alphabet,Artificial,LTR,bottom,no,discretionary,Brai / 570 (ideographic),Current,no,no,no,no,no,[unspecified],brai, 2800..28FF 
52,Lahnda (Landa),abugida,Indic,LTR,hanging,no,[unspecified],[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
53,Sunuwar,alphabet,Indic,LTR,hanging,no,between words,Sunu / 274 (left-to-right alphabetic),Current,yes,yes,[unknown],[unknown],[unknown],required,[none],N/A
54,Buginese,abugida,Insular Southeast Asian,LTR,bottom,no,between phrases,Bugi / 367 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],bugi,1A00..1A1F
55,Lao,abugida,Mainland Southeast Asian,LTR,bottom,no,between phrases,Laoo / 356 (alphasyllabic),Current,yes,yes,yes,yes,yes,required,lao,0024
56,Syloti Nagri,abugida,Indic,LTR,hanging,no,between words,Sylo / 316 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],required,sylo,A800..A82F
57,Buhid,abugida,Insular Southeast Asian,LTR,bottom,no,[unspecified],Buhd / 372 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],optional,buhd,1740..175F
58,Latin,alphabet,European,LTR,bottom,yes,between words,Latn / 215 (left-to-right alphabetic),Current,yes,no,yes,no,no,optional,latn,0300..036F
59,Symbols,,,[unspecified],[unspecified],[unknown],[unspecified],"Zsym / 996 (private use, alias, or special)",Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],"0024, 002B, 003C..003E, 005E, 0060, 007C, 007E"
60,Chakma,abugida,Indic,LTR,bottom,no,[unspecified],Cakm / 349 (alphasyllabic),Current,yes,yes,yes,[unknown],[unknown],optional,cakm,11100..1114F
61,Latin (Fraktur variant),alphabet,European,LTR,bottom,yes,between words,Latf / 217 (left-to-right alphabetic),Current,yes,no,no,no,no,required,[none],N/A
62,Symbols (Emoji variant),,Artificial,[unspecified],[unspecified],[unknown],[unspecified],"Zsye / 993 (private use, alias, or special)",Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],2600..26FF
63,Cham,abugida,Mainland Southeast Asian,LTR,hanging,no,[unspecified],Cham / 358 (alphasyllabic),Current,yes,yes,[unknown],[unknown],[unknown],required,cham,AA00..AA5F
64,Leke,,Mainland Southeast Asian,LTR,bottom,[unknown],[unspecified],Leke / 364 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
65,Syriac,abjad,Middle Eastern,RTL,bottom,no,between words,Syrc / 135 (right-to-left alphabetic),Current,yes,yes,yes,[unknown],[unknown],optional,syrc, 0700..074F 
66,Cherokee,syllabary,American,LTR,bottom,yes,between words,Cher / 445 (syllabic),Current,no,[unknown],[unknown],[unknown],[unknown],none,cher,13A0..13FF
67,Lepcha (Róng),abugida,Central Asian,LTR,bottom,no,[unspecified],Lepc / 335 (alphasyllabic),Current,yes,yes,yes,yes,no,required,lepc,1C00..1C4F
68,Syriac (Eastern variant),abjad,Middle Eastern,RTL,bottom,no,between words,Syrn / 136 (right-to-left alphabetic),Current,yes,yes,[unknown],[unknown],[unknown],[unspecified],[none], 0700..074F 
69,Coorgi-Cox,alphabet,Indic,LTR,[unspecified],no,[unspecified],[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
70,Limbu,abugida,Indic,LTR,hanging,no,between words,Limb / 336 (alphasyllabic),Current,yes,yes,[unknown],[unknown],yes,required,limb,1900..194F
71,Syriac (Western variant),abjad,Middle Eastern,RTL,bottom,no,between words,Syrj / 137 (right-to-left alphabetic),Current,yes,yes,[unknown],[unknown],[unknown],[unspecified],[none], 0700..074F 
72,Coptic,alphabet,European,LTR,bottom,yes,none,Copt / 204 (left-to-right alphabetic),Current,yes,no,[unknown],no,[unknown],,copt,0300..036F
73,Lisu (Fraser),alphabet,East Asian,LTR,bottom,no,[unspecified],Lisu / 399 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],no,none,lisu,A4D0..A4FF
74,Tafi (Hausa),alphabet,African,LTR,bottom,no,between words,[none],Current,no,[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
75,Cyrillic,alphabet,European,LTR,bottom,yes,between words,Cyrl / 220 (left-to-right alphabetic),Current,no,[unknown],no,no,no,none,cyrl,0300..036F
76,Loma,syllabary,African,LTR,bottom,no,[unspecified],Loma / 437 (syllabic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
77,Tagbanwa,abugida,Insular Southeast Asian,LTR,bottom,no,[unspecified],Tagb / 373 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],tagb,1760..177F
78,Devanagari (Nagari),abugida,Indic,LTR,hanging,no,between words,Deva / 315 (alphasyllabic),Current,yes,yes,yes,yes,no,required,"deva, dev2",0024
79,Malayalam,abugida,Indic,LTR,bottom,no,discretionary,Mlym / 347 (alphasyllabic),Current,yes,yes,yes,yes,yes,required,"mlym, mlm2", 0D00..0D7F 
80,Tai Le,abugida,Mainland Southeast Asian,LTR,bottom,no,between phrases,Tale / 353 (alphasyllabic),Current,yes,[unknown],[unknown],no,no,[unspecified],tale,1950..197F
81,Duota,abugida,Mainland Southeast Asian,LTR,bottom,[unknown],[unspecified],[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
82,Masaba,syllabary,African,LTR,[unspecified],[unknown],[unspecified],[none],Current,no,[unknown],[unknown],[unknown],[unknown],none,[none],N/A
83,Tai Tham (Lanna),abugida,Mainland Southeast Asian,LTR,hanging,no,between phrases,Lana / 351 (alphasyllabic),Current,yes,yes,yes,[unknown],yes,required,lana,1A20..1AAF
84,"Duployan shorthand, Duployan stenography",alphabet,American,LTR,bottom,no,between words,Dupl / 755,Current,yes,yes,[unknown],no,[unknown],[unspecified],dupl,1BC00..1BC9F
85,Masaram Gondi,abugida,Indic,LTR,[unspecified],[unknown],[unspecified],Gonm / 313 (alphasyllabic),Current,yes,yes,yes,[unknown],[unknown],required,gonm, 11D00..11D5F 
